100 = number of vertices
14 = number of colors used
3 = maximum degree when deleted
0 = size of terminal clique
vertex 0: color 0, degree 5, degree when deleted 3
vertex 1: color 1, degree 4, degree when deleted 2
vertex 2: color 1, degree 5, degree when deleted 3
vertex 3: color 1, degree 2, degree when deleted 1
vertex 4: color 2, degree 8, degree when deleted 3
vertex 5: color 2, degree 3, degree when deleted 2
vertex 6: color 0, degree 2, degree when deleted 1
vertex 7: color 2, degree 5, degree when deleted 2
vertex 8: color 2, degree 3, degree when deleted 2
vertex 9: color 2, degree 2, degree when deleted 2
vertex 10: color 2, degree 4, degree when deleted 2
vertex 11: color 0, degree 1, degree when deleted 1
vertex 12: color 1, degree 2, degree when deleted 2
vertex 13: color 2, degree 5, degree when deleted 2
vertex 14: color 1, degree 1, degree when deleted 1
vertex 15: color 3, degree 4, degree when deleted 3
vertex 16: color 2, degree 4, degree when deleted 2
vertex 17: color 5, degree 4, degree when deleted 3
vertex 18: color 1, degree 5, degree when deleted 2
vertex 19: color 0, degree 4, degree when deleted 2
vertex 20: color 1, degree 3, degree when deleted 2
vertex 21: color 0, degree 4, degree when deleted 2
vertex 22: color 1, degree 6, degree when deleted 2
vertex 23: color 2, degree 11, degree when deleted 2
vertex 24: color 0, degree 5, degree when deleted 2
vertex 25: color 0, degree 4, degree when deleted 2
vertex 26: color 1, degree 1, degree when deleted 1
vertex 27: color 2, degree 8, degree when deleted 2
vertex 28: color 3, degree 6, degree when deleted 2
vertex 29: color 1, degree 5, degree when deleted 2
vertex 30: color 0, degree 5, degree when deleted 1
vertex 31: color 2, degree 2, degree when deleted 2
vertex 32: color 2, degree 4, degree when deleted 1
vertex 33: color 0, degree 2, degree when deleted 2
vertex 34: color 1, degree 6, degree when deleted 2
vertex 35: color 14, degree 0, degree when deleted 0
vertex 36: color 2, degree 2, degree when deleted 2
vertex 37: color 1, degree 4, degree when deleted 2
vertex 38: color 0, degree 6, degree when deleted 2
vertex 39: color 2, degree 2, degree when deleted 2
vertex 40: color 0, degree 4, degree when deleted 2
vertex 41: color 1, degree 4, degree when deleted 2
vertex 42: color 0, degree 2, degree when deleted 1
vertex 43: color 0, degree 4, degree when deleted 2
vertex 44: color 1, degree 2, degree when deleted 2
vertex 45: color 1, degree 3, degree when deleted 2
vertex 46: color 2, degree 2, degree when deleted 2
vertex 47: color 1, degree 4, degree when deleted 2
vertex 48: color 0, degree 3, degree when deleted 2
vertex 49: color 1, degree 2, degree when deleted 2
vertex 50: color 0, degree 6, degree when deleted 2
vertex 51: color 2, degree 2, degree when deleted 2
vertex 52: color 0, degree 2, degree when deleted 1
vertex 53: color 1, degree 3, degree when deleted 2
vertex 54: color 13, degree 0, degree when deleted 0
vertex 55: color 1, degree 2, degree when deleted 1
vertex 56: color 0, degree 4, degree when deleted 2
vertex 57: color 1, degree 1, degree when deleted 1
vertex 58: color 12, degree 0, degree when deleted 0
vertex 59: color 0, degree 3, degree when deleted 2
vertex 60: color 1, degree 8, degree when deleted 1
vertex 61: color 0, degree 1, degree when deleted 1
vertex 62: color 0, degree 4, degree when deleted 2
vertex 63: color 0, degree 2, degree when deleted 2
vertex 64: color 0, degree 5, degree when deleted 2
vertex 65: color 0, degree 2, degree when deleted 2
vertex 66: color 0, degree 1, degree when deleted 1
vertex 67: color 4, degree 6, degree when deleted 2
vertex 68: color 11, degree 0, degree when deleted 0
vertex 69: color 0, degree 3, degree when deleted 1
vertex 70: color 0, degree 1, degree when deleted 1
vertex 71: color 2, degree 2, degree when deleted 2
vertex 72: color 1, degree 4, degree when deleted 2
vertex 73: color 0, degree 3, degree when deleted 1
vertex 74: color 1, degree 3, degree when deleted 2
vertex 75: color 0, degree 5, degree when deleted 1
vertex 76: color 0, degree 2, degree when deleted 1
vertex 77: color 10, degree 0, degree when deleted 0
vertex 78: color 9, degree 0, degree when deleted 0
vertex 79: color 0, degree 1, degree when deleted 1
vertex 80: color 0, degree 2, degree when deleted 1
vertex 81: color 1, degree 1, degree when deleted 1
vertex 82: color 1, degree 3, degree when deleted 1
vertex 83: color 8, degree 0, degree when deleted 0
vertex 84: color 1, degree 1, degree when deleted 1
vertex 85: color 0, degree 2, degree when deleted 2
vertex 86: color 0, degree 1, degree when deleted 1
vertex 87: color 1, degree 2, degree when deleted 1
vertex 88: color 2, degree 3, degree when deleted 2
vertex 89: color 7, degree 0, degree when deleted 0
vertex 90: color 0, degree 3, degree when deleted 1
vertex 91: color 1, degree 1, degree when deleted 1
vertex 92: color 0, degree 1, degree when deleted 1
vertex 93: color 0, degree 3, degree when deleted 2
vertex 94: color 6, degree 0, degree when deleted 0
vertex 95: color 0, degree 6, degree when deleted 1
vertex 96: color 0, degree 1, degree when deleted 1
vertex 97: color 0, degree 1, degree when deleted 1
vertex 98: color 1, degree 5, degree when deleted 0
vertex 99: color 1, degree 3, degree when deleted 1
