10 = number of vertices
0 = starting index for vertex 0
1 = starting index for vertex 1
2 = starting index for vertex 2
3 = starting index for vertex 3
4 = starting index for vertex 4
5 = starting index for vertex 5
6 = starting index for vertex 6
7 = starting index for vertex 7
8 = starting index for vertex 8
9 = starting index for vertex 9
0 is adjacent to 1
0 is adjacent to 2
0 is adjacent to 3
0 is adjacent to 4
0 is adjacent to 5
0 is adjacent to 6
0 is adjacent to 7
0 is adjacent to 8
0 is adjacent to 9
1 is adjacent to 0
1 is adjacent to 2
1 is adjacent to 3
1 is adjacent to 4
1 is adjacent to 5
1 is adjacent to 6
1 is adjacent to 7
1 is adjacent to 8
1 is adjacent to 9
2 is adjacent to 0
2 is adjacent to 1
2 is adjacent to 3
2 is adjacent to 4
2 is adjacent to 5
2 is adjacent to 6
2 is adjacent to 7
2 is adjacent to 8
2 is adjacent to 9
3 is adjacent to 0
3 is adjacent to 1
3 is adjacent to 2
3 is adjacent to 4
3 is adjacent to 5
3 is adjacent to 6
3 is adjacent to 7
3 is adjacent to 8
3 is adjacent to 9
4 is adjacent to 0
4 is adjacent to 1
4 is adjacent to 2
4 is adjacent to 3
4 is adjacent to 5
4 is adjacent to 6
4 is adjacent to 7
4 is adjacent to 8
4 is adjacent to 9
5 is adjacent to 0
5 is adjacent to 1
5 is adjacent to 2
5 is adjacent to 3
5 is adjacent to 4
5 is adjacent to 6
5 is adjacent to 7
5 is adjacent to 8
5 is adjacent to 9
6 is adjacent to 0
6 is adjacent to 1
6 is adjacent to 2
6 is adjacent to 3
6 is adjacent to 4
6 is adjacent to 5
6 is adjacent to 7
6 is adjacent to 8
6 is adjacent to 9
7 is adjacent to 0
7 is adjacent to 1
7 is adjacent to 2
7 is adjacent to 3
7 is adjacent to 4
7 is adjacent to 5
7 is adjacent to 6
7 is adjacent to 8
7 is adjacent to 9
8 is adjacent to 0
8 is adjacent to 1
8 is adjacent to 2
8 is adjacent to 3
8 is adjacent to 4
8 is adjacent to 5
8 is adjacent to 6
8 is adjacent to 7
8 is adjacent to 9
9 is adjacent to 0
9 is adjacent to 1
9 is adjacent to 2
9 is adjacent to 3
9 is adjacent to 4
9 is adjacent to 5
9 is adjacent to 6
9 is adjacent to 7
9 is adjacent to 8
